Import data
Number of fabs after import 4927
Filter data
N fabs before filter: 4927, n fabs after filter: 4691
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4691, n fabs after filter: 4344
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4344, n fabs after filter: 4277
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4277 , size test set: 46
Prepare dataloaders
Size train set: 4177, val set: 100, test set: 46
Start training
 Train |  Val 
  1.17 |   1.16
  1.21 |   1.13
  1.21 |   1.20
  1.21 |   1.16
  1.21 |   1.21
  1.21 |   1.19
  1.21 |   1.18
  1.21 |   1.15
  1.21 |   1.17
  1.21 |   1.17
  1.21 |   1.16
  1.21 |   1.19
  1.20 |   1.18
  1.21 |   1.16
  1.21 |   1.18
  1.21 |   1.18
  1.21 |   1.20
  1.20 |   1.16
  1.20 |   1.26
  1.21 |   1.19
  1.21 |   1.22
  1.20 |   1.17
  1.20 |   1.17
  1.20 |   1.13
  1.21 |   1.19
  1.21 |   1.27
  1.20 |   1.20
  1.20 |   1.13
  1.20 |   1.14
  1.20 |   1.16
  1.21 |   1.22
  1.20 |   1.20
  1.20 |   1.21
  1.21 |   1.24
  1.21 |   1.17
  1.21 |   1.18
  1.20 |   1.13
  1.20 |   1.19
  1.20 |   1.16
  1.21 |   1.14
  1.20 |   1.16
  1.20 |   1.19
  1.20 |   1.17
  1.20 |   1.16
  1.21 |   1.16
  1.21 |   1.25
  1.20 |   1.21
  1.20 |   1.19
  1.20 |   1.15
  1.20 |   1.18
  1.21 |   1.18
  1.20 |   1.22
  1.20 |   1.22
  1.21 |   1.17
  1.20 |   1.14
  1.20 |   1.18
  1.20 |   1.19
  1.21 |   1.18
  1.20 |   1.16
  1.20 |   1.16
  1.20 |   1.17
  1.20 |   1.19
  1.20 |   1.14
  1.20 |   1.12
  1.21 |   1.18
  1.20 |   1.20
  1.20 |   1.14
  1.21 |   1.18
  1.21 |   1.16
  1.20 |   1.19
  1.20 |   1.17
  1.21 |   1.21
  1.21 |   1.17
  1.20 |   1.20
  1.20 |   1.16
  1.20 |   1.17
  1.20 |   1.15
  1.20 |   1.14
  1.20 |   1.18
  1.20 |   1.17
  1.20 |   1.18
  1.20 |   1.14
  1.20 |   1.18
  1.20 |   1.15
  1.20 |   1.26
  1.21 |   1.20
  1.20 |   1.17
  1.20 |   1.23
  1.20 |   1.20
  1.20 |   1.16
  1.20 |   1.18
  1.20 |   1.13
  1.20 |   1.20
  1.20 |   1.17
  1.20 |   1.16
  1.20 |   1.18
  1.20 |   1.15
  1.21 |   1.15
  1.20 |   1.25
  1.20 |   1.19
  1.20 |   1.17
  1.20 |   1.21
  1.20 |   1.23
  1.20 |   1.15
  1.20 |   1.27
  1.20 |   1.30
  1.20 |   1.18
  1.20 |   1.15
  1.20 |   1.21
  1.20 |   1.20
  1.21 |   1.22
  1.20 |   1.16
  1.21 |   1.12
  1.20 |   1.13
  1.20 |   1.13
  1.20 |   1.20
  1.20 |   1.22
  1.20 |   1.20
  1.20 |   1.17
  1.20 |   1.16
  1.21 |   1.17
  1.20 |   1.17
  1.20 |   1.19
  1.20 |   1.16
  1.20 |   1.21
  1.20 |   1.21
  1.20 |   1.22
  1.20 |   1.30
  1.20 |   1.21
  1.20 |   1.17
  1.20 |   1.27
  1.21 |   1.21
  1.20 |   1.13
  1.20 |   1.15
  1.20 |   1.18
  1.20 |   1.14
  1.21 |   1.14
  1.20 |   1.25
  1.20 |   1.16
  1.20 |   1.14
  1.20 |   1.15
  1.20 |   1.12
  1.20 |   1.19
  1.21 |   1.20
  1.20 |   1.21
  1.21 |   1.22
  1.20 |   1.27
  1.20 |   1.17
  1.20 |   1.15
  1.20 |   1.13
  1.20 |   1.16
  1.21 |   1.30
  1.20 |   1.16
  1.20 |   1.14
  1.20 |   1.17
  1.20 |   1.22
  1.20 |   1.17
  1.20 |   1.17
  1.20 |   1.12
  1.20 |   1.20
  1.20 |   1.17
  1.20 |   1.15
  1.20 |   1.17
  1.20 |   1.15
  1.20 |   1.12
  1.20 |   1.16
  1.20 |   1.15
  1.20 |   1.18
  1.20 |   1.13
  1.20 |   1.14
  1.20 |   1.15
  1.20 |   1.18
  1.20 |   1.14
  1.20 |   1.27
  1.20 |   1.14
  1.20 |   1.20
  1.20 |   1.21
  1.20 |   1.16
  1.20 |   1.15
  1.20 |   1.38
  1.20 |   1.28
  1.20 |   1.12
  1.20 |   1.21
  1.20 |   1.21
  1.20 |   1.16
  1.20 |   1.14
  1.20 |   1.25
  1.20 |   1.14
  1.20 |   1.15
  1.19 |   1.23
  1.20 |   1.14
  1.20 |   1.17
  1.20 |   1.17
  1.20 |   1.16
  1.20 |   1.19
  1.20 |   1.15
  1.20 |   1.16
  1.20 |   1.16
  1.20 |   1.15
  1.19 |   1.17
  1.20 |   1.16
  1.20 |   1.13
  1.20 |   1.20
  1.20 |   1.16
  1.20 |   1.22
  1.20 |   1.20
  1.19 |   1.19
  1.20 |   1.14
  1.20 |   1.17
  1.19 |   1.14
  1.19 |   1.18
  1.19 |   1.16
  1.20 |   1.14
Train model ━╸                                         4% -:--:--
