Import data
Number of fabs after import 4927
Filter data
N fabs before filter: 4927, n fabs after filter: 4691
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4691, n fabs after filter: 4344
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4344, n fabs after filter: 4277
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4277 , size test set: 46
Prepare dataloaders
Size train set: 4177, val set: 100, test set: 46
Start training
Start with 1st optimiser
 Train |  Val 
  4.46 |   2.27
  2.00 |   1.69
  1.72 |   1.52
  1.58 |   1.55
  1.49 |   1.61
  1.45 |   1.35
  1.41 |   1.33
  1.37 |   1.33
  1.35 |   1.31
  1.32 |   1.28
  1.30 |   1.25
  1.28 |   1.27
  1.27 |   1.20
  1.26 |   1.26
  1.24 |   1.28
  1.24 |   1.23
  1.22 |   1.19
  1.22 |   1.20
  1.21 |   1.14
  1.20 |   1.25
  1.19 |   1.25
  1.20 |   1.18
  1.18 |   1.14
  1.18 |   1.13
  1.17 |   1.20
  1.16 |   1.10
  1.16 |   1.17
  1.16 |   1.07
  1.16 |   1.09
  1.16 |   1.14
  1.15 |   1.08
  1.15 |   1.09
  1.14 |   1.08
  1.14 |   1.13
  1.14 |   1.08
  1.14 |   1.12
  1.14 |   1.08
  1.13 |   1.06
  1.13 |   1.06
  1.13 |   1.15
  1.13 |   1.06
  1.12 |   1.10
  1.12 |   1.12
  1.12 |   1.08
  1.12 |   1.05
  1.11 |   1.10
  1.11 |   1.13
  1.12 |   1.06
  1.11 |   1.11
  1.11 |   1.05
  1.10 |   1.08
  1.10 |   1.08
  1.10 |   1.04
  1.10 |   1.07
  1.10 |   1.04
  1.10 |   1.05
  1.09 |   1.09
  1.09 |   1.01
  1.09 |   1.17
  1.09 |   1.06
  1.09 |   1.04
  1.09 |   1.09
  1.08 |   1.05
  1.08 |   1.03
  1.08 |   1.05
  1.08 |   1.05
  1.08 |   1.04
  1.08 |   1.06
  1.07 |   1.04
  1.08 |   1.04
  1.08 |   1.05
  1.07 |   1.01
  1.07 |   1.06
  1.07 |   1.06
  1.08 |   1.05
  1.07 |   1.05
  1.08 |   1.07
  1.07 |   1.06
  1.07 |   1.07
  1.06 |   1.04
  1.07 |   1.02
  1.07 |   1.03
  1.06 |   1.04
  1.07 |   1.06
  1.07 |   1.05
  1.06 |   1.02
  1.06 |   1.09
Switched to 2nd optimiser
  1.07 |   1.01
  0.97 |   0.95
  0.95 |   0.94
  0.95 |   0.94
  0.94 |   0.93
  0.94 |   0.93
  0.94 |   0.92
  0.93 |   0.93
  0.93 |   0.93
  0.93 |   0.92
  0.92 |   0.92
  0.92 |   0.92
  0.92 |   0.92
  0.92 |   0.92
  0.92 |   0.92
  0.91 |   0.92
  0.91 |   0.91
  0.91 |   0.92
  0.91 |   0.91
  0.91 |   0.91
  0.90 |   0.93
  0.90 |   0.91
  0.90 |   0.91
  0.90 |   0.91
  0.90 |   0.91
  0.89 |   0.90
  0.89 |   0.90
  0.89 |   0.90
  0.89 |   0.90
  0.89 |   0.92
  0.89 |   0.90
  0.89 |   0.91
  0.88 |   0.91
  0.88 |   0.90
  0.88 |   0.91
  0.88 |   0.90
  0.88 |   0.91
  0.88 |   0.89
  0.88 |   0.90
  0.87 |   0.89
  0.87 |   0.91
  0.87 |   0.89
  0.87 |   0.88
  0.87 |   0.89
  0.87 |   0.89
