Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Data formated
Size train set: 7971, val set: 100, test set: 46
Start training
 Train |  Val 
 79.90 |  79.90
  1.89 |   1.89
  1.80 |   1.80
  1.76 |   1.76
  1.74 |   1.74
  1.73 |   1.73
  1.72 |   1.72
  1.71 |   1.71
  1.70 |   1.70
  1.70 |   1.70
  1.69 |   1.69
  1.69 |   1.69
  1.69 |   1.69
  1.69 |   1.69
  1.68 |   1.68
  1.68 |   1.68
  1.68 |   1.68
  1.68 |   1.68
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.66 |   1.66
  1.67 |   1.67
  1.67 |   1.67
  1.66 |   1.66
  1.67 |   1.67
  1.67 |   1.67
  1.67 |   1.67
  1.66 |   1.66
  1.66 |   1.66
  1.67 |   1.67
  1.66 |   1.66
  1.66 |   1.66
  1.66 |   1.66
