Import data
Number of fabs after import 5085
Filter data
N fabs before filter: 5085, n fabs after filter: 4839
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4839, n fabs after filter: 4483
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4483, n fabs after filter: 4412
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4412 , size test set: 46
Prepare dataloaders
Size train set: 4312, val set: 100, test set: 46
Start training
 Train |  Val 
  0.71 |   0.69
  1.20 |   1.12
  1.63 |   1.47
  2.03 |   1.78
  2.42 |   2.14
  2.79 |   2.39
  3.14 |   2.62
  3.50 |   2.86
  3.85 |   3.11
  4.19 |   3.31
  4.51 |   3.57
  4.50 |   3.54
  4.52 |   3.66
  4.50 |   3.57
  4.53 |   3.61
  4.52 |   3.55
  4.50 |   3.50
  4.52 |   3.55
  4.52 |   3.56
  4.51 |   3.67
  4.52 |   3.56
  4.52 |   3.56
  4.52 |   3.55
  4.52 |   3.59
  4.51 |   3.57
  4.54 |   3.46
  4.51 |   3.57
  4.53 |   3.61
  4.52 |   3.62
  4.52 |   3.59
  4.51 |   3.51
  4.52 |   3.54
  4.51 |   3.57
  4.52 |   3.57
  4.53 |   3.60
  4.54 |   3.67
  4.51 |   3.49
  4.50 |   3.58
  4.50 |   3.49
  4.50 |   3.50
  4.51 |   3.50
  4.52 |   3.58
  4.51 |   3.52
  4.51 |   3.50
  4.52 |   3.53
  4.52 |   3.51
  4.52 |   3.54
  4.51 |   3.58
  4.51 |   3.52
  4.52 |   3.50
  4.51 |   3.54
  4.53 |   3.52
  4.52 |   3.52
  4.52 |   3.55
  4.50 |   3.58
  4.51 |   3.52
  4.51 |   3.50
  4.51 |   3.49
  4.51 |   3.61
  4.52 |   3.52
  4.52 |   3.59
  4.52 |   3.57
  4.52 |   3.52
  4.51 |   3.66
  4.53 |   3.50
  4.51 |   3.61
  4.52 |   3.62
  4.50 |   3.65
  4.53 |   3.53
  4.51 |   3.56
  4.51 |   3.57
  4.52 |   3.57
  4.50 |   3.53
  4.52 |   3.54
  4.52 |   3.58
  4.51 |   3.69
  4.51 |   3.55
  4.53 |   3.55
  4.52 |   3.50
  4.51 |   3.58
  4.51 |   3.53
  4.51 |   3.53
  4.51 |   3.49
  4.50 |   3.61
  4.53 |   3.55
  4.51 |   3.55
  4.52 |   3.61
  4.51 |   3.58
  4.51 |   3.53
  4.53 |   3.60
  4.52 |   3.55
  4.53 |   3.67
  4.52 |   3.50
  4.50 |   3.52
  4.50 |   3.51
  4.51 |   3.50
  4.52 |   3.55
  4.52 |   3.55
  4.51 |   3.59
  4.51 |   3.53
  4.52 |   3.55
Train model ╸                                          2% -:--:--
