Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
 Train |  Val 
 20.20 |  20.20
  1.70 |   1.70
  1.62 |   1.62
  1.57 |   1.57
  1.55 |   1.55
  1.53 |   1.53
  1.52 |   1.52
  1.51 |   1.51
  1.50 |   1.50
  1.49 |   1.49
  1.49 |   1.49
  1.48 |   1.48
  1.48 |   1.48
  1.47 |   1.47
  1.47 |   1.47
  1.47 |   1.47
  1.47 |   1.47
  1.47 |   1.47
  1.46 |   1.46
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.42 |   1.42
  1.43 |   1.43
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.42 |   1.42
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.40 |   1.40
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.40 |   1.40
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.40 |   1.40
  1.41 |   1.41
  1.41 |   1.41
  1.41 |   1.41
  1.40 |   1.40
  1.41 |   1.41
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.41 |   1.41
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
  1.39 |   1.39
  1.39 |   1.39
  1.39 |   1.39
  1.40 |   1.40
  1.40 |   1.40
