Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Data formated
Size train set: 7971, val set: 100, test set: 46
Start training
 Train |  Val 
298.14 | 298.14
  1.85 |   1.85
  1.71 |   1.71
  1.64 |   1.64
  1.60 |   1.60
  1.58 |   1.58
  1.56 |   1.56
  1.55 |   1.55
  1.54 |   1.54
  1.53 |   1.53
  1.52 |   1.52
  1.51 |   1.51
  1.50 |   1.50
  1.50 |   1.50
  1.50 |   1.50
  1.49 |   1.49
  1.49 |   1.49
  1.49 |   1.49
  1.48 |   1.48
  1.48 |   1.48
  1.47 |   1.47
  1.47 |   1.47
  1.47 |   1.47
  1.47 |   1.47
  1.46 |   1.46
  1.46 |   1.46
  1.46 |   1.46
  1.46 |   1.46
  1.46 |   1.46
  1.46 |   1.46
  1.46 |   1.46
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.45 |   1.45
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.43 |   1.43
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.43 |   1.43
  1.44 |   1.44
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.44 |   1.44
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.42 |   1.42
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.42 |   1.42
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.42 |   1.42
  1.42 |   1.42
  1.42 |   1.42
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
  1.43 |   1.43
