Import data
Number of fabs after import 4927
Filter data
N fabs before filter: 4927, n fabs after filter: 4691
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4691, n fabs after filter: 4344
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4344, n fabs after filter: 4277
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4277 , size test set: 46
Prepare dataloaders
Size train set: 4177, val set: 100, test set: 46
Start training
 Train |  Val 
 13.22 |  13.22
  1.79 |   1.79
  1.61 |   1.61
  1.53 |   1.53
  1.48 |   1.48
  1.46 |   1.46
  1.43 |   1.43
  1.41 |   1.41
  1.40 |   1.40
  1.39 |   1.39
  1.38 |   1.38
  1.37 |   1.37
  1.36 |   1.36
  1.35 |   1.35
  1.35 |   1.35
  1.34 |   1.34
  1.33 |   1.33
  1.33 |   1.33
  1.32 |   1.32
  1.32 |   1.32
  1.32 |   1.32
  1.32 |   1.32
  1.31 |   1.31
  1.31 |   1.31
  1.31 |   1.31
  1.30 |   1.30
  1.30 |   1.30
  1.30 |   1.30
  1.29 |   1.29
  1.29 |   1.29
  1.29 |   1.29
  1.29 |   1.29
  1.29 |   1.29
  1.29 |   1.29
  1.28 |   1.28
  1.28 |   1.28
  1.28 |   1.28
  1.28 |   1.28
  1.28 |   1.28
  1.27 |   1.27
  1.27 |   1.27
  1.27 |   1.27
  1.27 |   1.27
  1.27 |   1.27
  1.27 |   1.27
  1.27 |   1.27
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.26 |   1.26
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.24 |   1.24
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.25 |   1.25
  1.24 |   1.24
  1.25 |   1.25
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.23 |   1.23
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.24 |   1.24
  1.23 |   1.23
  1.24 |   1.24
  1.24 |   1.24
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.24 |   1.24
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.22 |   1.22
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.23 |   1.23
  1.23 |   1.23
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.23 |   1.23
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.21 |   1.21
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.22 |   1.22
  1.21 |   1.21
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.22 |   1.22
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.22 |   1.22
  1.22 |   1.22
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.22 |   1.22
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.20 |   1.20
  1.21 |   1.21
  1.21 |   1.21
  1.20 |   1.20
